大自燃学徒,香港茗泽国际医疗集团有限公司,林先生,广州市番禺区大石地铁B出口we公馆8楼 ,http://www.138job.com/ShowPhone.aspx?v=861040BACF686AC94645029A23E811CA,"
职位要求
职位名称：大自燃学徒
是否出差：不定时出差
职责说明：1、美容学员在美容院经过一段时间的锻炼和学习后，就成为见习美容师，开始给顾客提供美容护理服务。2、见习美容师经过一段时间实际的手法操练，再成为一名真正的美容师。职位要求：1、手法娴熟，有责任心。2、对工作热情，服务意识强。3、具有销售，推广经验或已取得美容证书者优先。职位标签星期日休息，公司产品福利，岗前培训，不需要工作经验，月薪过万，提供住宿，多劳多得(底薪+提成)，大自燃学徒，广东，广州
联系方式

我要应聘
",2112401,477200
大自燃学徒,香港茗泽国际医疗集团有限公司,林先生,广州市番禺区大石地铁B出口we公馆8楼 ,http://www.138job.com/ShowPhone.aspx?v=861040BACF686AC94645029A23E811CA,职位要求职位名称：大自燃学徒是否出差：不定时出差职责说明：1、美容学员在美容院经过一段时间的锻炼和学习后，就成为见习美容师，开始给顾客提供美容护理服务。2、见习美容师经过一段时间实际的手法操练，再成为一名真正的美容师。职位要求：1、手法娴熟，有责任心。2、对工作热情，服务意识强。3、具有销售，推广经验或已取得美容证书者优先。职位标签星期日休息，公司产品福利，岗前培训，不需要工作经验，月薪过万，提供住宿，多劳多得(底薪+提成)，大自燃学徒，广东，广州联系方式我要应聘,2112401,477200
美容师,深圳市恒颜纤体养生有限公司,谭经理,地址为龙华新区民治星河盛世cococity2楼地铁站: 4号线白石龙地铁（还需要走路10分钟左右）公交车站:慧鑫公寓,http://www.138job.com/ShowPhone.aspx?v=E5D26FDC77D20FF26B58B02DD2CFACF5,"
美容师招聘职位要求
是否出差：无需出差

1.为顾客提供皮肤护理，美容养生服务。2.熟悉各种美容用品用具的性能，特点和使用方法，掌握工具物品的消毒知识。3.学习产品知识和专业技术，不断提高自身职业素质和技能。任职要求：1. 一年以上工作经验，专业手法熟练流畅，熟练掌握美容养生的专业理论知识。2.有良好的服务理念，主动地服务意识，有责任感，吃苦耐劳。3.沟通能力强，诚信开朗，作风正派。

",2088222,451248
美容师,深圳市恒颜纤体养生有限公司,谭经理,地址为龙华新区民治星河盛世cococity2楼地铁站: 4号线白石龙地铁（还需要走路10分钟左右）公交车站:慧鑫公寓,http://www.138job.com/ShowPhone.aspx?v=E5D26FDC77D20FF26B58B02DD2CFACF5,"美容师招聘职位要求是否出差：无需出差1.为顾客提供皮肤护理，美容养生服务。2.熟悉各种美容用品用具的性能，特点和使用方法，掌握工具物品的消毒知识。3.学习产品知识和专业技术，不断提高自身职业素质和技能。任职要求：1. 一年以上工作经验，专业手法熟练流畅，熟练掌握美容养生的专业理论知识。2.有良好的服务理念，主动地服务意识，有责任感，吃苦耐劳。3.沟通能力强，诚信开朗，作风正派。",2088222,451248
美甲师,上海PrincessAddiction,---,---,---,"美甲师招聘职位要求是否出差：无需出差有经验，热爱美甲事业的人刚刚学完也可，主要能耐心，善于沟通",106261,40378
美甲师,广州逸景翠园美甲店,---,---,---,"美甲师招聘职位要求是否出差：无需出差本人准备投入一批资金开小区式美甲店此店是第一间。有经验的美甲师在新店开后将成为店长，将实行类承包制每月回收一定款项后其余由店长自行分配，利润为自身努力所得，有意者请从速与我联系！",105247,36442
美甲员,广州逸景翠园美甲店,---,---,---,"美甲员招聘职位要求是否出差：无需出差本人准备投入一批资金开小区式美甲店此店是第一间。有经验的美甲师在新店开后将成为店长，将实行类承包制每月回收一定款项后其余由店长自行分配，利润为自身努力所得，有意者请从速与我联系！",105247,36530
医美咨询师 医美专家 光电操作师,南京韵旭商贸有限公司,王经理,南京市玄武区红山路常发广场3栋815室,http://www.138job.com/ShowPhone.aspx?v=D71CCD3C180657BBBB47B91BFC9FDC22,"医美咨询师医美专家光电操作师招聘职位要求是否出差：不定时出差工作内容1.全面掌握美容的专业知识和产品知识，熟练操作。 2. 对公司加盟店进行产品知识，手法技能等相关知识的培训 3. 协助加盟店开展开业前筹备，宣传及驻点扶持。 4. 对加盟店开展技术和销售培训，提升加盟店业绩。5.搜集同类产品信息反馈个人要求 1， 1年以上医疗美容机构咨询相关工作经历，形象佳，沟通能力强，亲和力强。 ,2，年龄23-39之间，中专学历 以上，男士优先",474544,469937
养生专家,南京韵旭商贸有限公司,王经理,南京市玄武区红山路常发广场3栋815室,http://www.138job.com/ShowPhone.aspx?v=D71CCD3C180657BBBB47B91BFC9FDC22,"养生专家招聘职位要求是否出差：不定时出差1、负责培训公司员工关于养生方面的专业技能，完成培训及现场授课工作。2、配合合作店铺活动时期下单坐诊，为客户提供专业咨询及养身调理。3、协助开展健康讲座、健康沙龙、养生之旅活动。4、中专以上学历，医学保健、中医、营养学等专业优先；男女不限，年龄25-45之间，形象良好，亲和力强。5、有一年以上中医养生、保健行业管理工作经验为佳。",474544,415404
教育总监,南京韵旭商贸有限公司,王经理,南京玄武区红山路88号，常发广场3号楼八层,http://www.138job.com/ShowPhone.aspx?v=D71CCD3C180657BBBB47B91BFC9FDC22,"教育总监招聘职位要求是否出差：不定时出差职责说明：配合公司安排的各项专业咨询工作，负责培训合作代理加盟店关于养生方面的专业技能，完成培训及现场授课工作。懂得运用养生知识来为顾客进行身体的调理，具有养生产品的市场推广经验。职位要求：1、有多年中医养生经验。具备深厚的皮肤医学常识、中医养生等基本知识和技能，为顾客进行身体健康的调理，缓解身体的亚健康状态；2、具备良好语言表达能力以及授课能力；3、具有养生产品的市场推广经验、中医医学专业文凭或者有中医养生馆相关工作经验者优先考虑。",474544,353572
专家老师,广州优莎生物科技有限公司,朱小姐,广州天河区珠江新城保利克洛维中景大厦A座1716   乘车路线：地铁到体育西站G出口往前直走过隧道右边即是中景A座或公交车到天河站下即到 ,http://www.138job.com/ShowPhone.aspx?v=90678B9E027ED865E1E7A4966704B998,"专家老师招聘职位要求是否出差：不定时出差职位要求：1、具有高级美容老师/养生专家老师等相关领域从业经历；2、善与沟通交流，语言表达能力强，具有良好的职业素养；3、限女性，年龄在28—45岁之间，能够适应全国出差； 4、医学、护理、美容、市场营销等专业优先；5、操作过高端项目，具备销售能力极强者更佳。",1454581,361916
